[07-05-21 10:33:56 | Arc_functions.py             psd(), line 447] DEBUG: PARAMETERS: day=22 month=11 year=2020 quantity=Error ax=AxesSubplot(0.125,0.11;0.775x0.77) interval=300 mode=low noise low_freq=2 high_freq=10 threshold=0.03 ndays=1 length=10000 ax1=None file_start=None file_stop=None verbose=False
[07-05-21 10:33:56 | Arc_functions.py             psd(), line 448] INFO: Evaluation of the PSD on 'Error' started
[07-05-21 10:33:56 | Arc_functions.py       read_data(), line 139] INFO: 'error' data read started
[07-05-21 10:33:56 | Arc_functions.py       read_data(), line 140] INFO: Data from 22/11/2020 selected
[07-05-21 10:33:56 | Arc_functions.py       read_data(), line 143] DEBUG: PARAMETERS: day=22 month=11 year=2020 quantity=Error num_d=1 tevo=True file_start=None file_stop=None verbose=False
[07-05-21 10:33:56 | Arc_functions.py       read_data(), line 149] DEBUG: index=4
[07-05-21 10:33:59 | Arc_functions.py       read_data(), line 160] INFO: Number of .lvm found: 211
[07-05-21 10:35:37 | Arc_functions.py       read_data(), line 236] INFO: 'error' data read successfully completed
[07-05-21 10:35:37 | Arc_functions.py       read_data(), line 139] INFO: 'itf' data read started
[07-05-21 10:35:37 | Arc_functions.py       read_data(), line 140] INFO: Data from 22/11/2020 selected
[07-05-21 10:35:37 | Arc_functions.py       read_data(), line 143] DEBUG: PARAMETERS: day=22 month=11 year=2020 quantity=ITF num_d=1 tevo=False file_start=None file_stop=None verbose=False
[07-05-21 10:35:37 | Arc_functions.py       read_data(), line 149] DEBUG: index=1
[07-05-21 10:35:37 | Arc_functions.py       read_data(), line 160] INFO: Number of .lvm found: 211
[07-05-21 10:36:24 | Arc_functions.py       read_data(), line 236] INFO: 'itf' data read successfully completed
[07-05-21 10:36:24 | Arc_functions.py       read_data(), line 237] WARNING: The time array is empty!
[07-05-21 10:36:26 | Arc_functions.py       read_data(), line 139] INFO: 'pick off' data read started
[07-05-21 10:36:26 | Arc_functions.py       read_data(), line 140] INFO: Data from 22/11/2020 selected
[07-05-21 10:36:26 | Arc_functions.py       read_data(), line 143] DEBUG: PARAMETERS: day=22 month=11 year=2020 quantity=Pick Off num_d=1 tevo=False file_start=None file_stop=None verbose=False
[07-05-21 10:36:26 | Arc_functions.py       read_data(), line 149] DEBUG: index=2
[07-05-21 10:36:26 | Arc_functions.py       read_data(), line 160] INFO: Number of .lvm found: 211
[07-05-21 10:37:08 | Arc_functions.py       read_data(), line 236] INFO: 'pick off' data read successfully completed
[07-05-21 10:37:08 | Arc_functions.py       read_data(), line 237] WARNING: The time array is empty!
[07-05-21 10:37:23 | Arc_functions.py             psd(), line 457] DEBUG: rows_in_df_Error=63103100 rows_in_df_itf=63103100 rows_in_df_pickoff=63103100
[07-05-21 10:37:23 | Arc_functions.py   th_comparison(), line 381] INFO: Comparison started
[07-05-21 10:37:23 | Arc_functions.py   th_comparison(), line 383] DEBUG: PARAMETERS: rows_in_df=63103100 threshold=0.03 length=10000 verbose=False
[07-05-21 10:37:23 | Arc_functions.py   th_comparison(), line 390] DEBUG: Size of data_to_check = 63103100
[07-05-21 10:37:23 | Arc_functions.py   th_comparison(), line 393] DEBUG: Factor=15391.0
[07-05-21 10:37:23 | Arc_functions.py   th_comparison(), line 395] DEBUG: num_slice=4100
[07-05-21 10:37:23 | Arc_functions.py   th_comparison(), line 396] INFO: Number of slices = 4100
[07-05-21 10:37:23 | Arc_functions.py   th_comparison(), line 407] DEBUG: len(index_data_rej)=195
[07-05-21 10:37:23 | Arc_functions.py   th_comparison(), line 408] INFO: Slices rejected = 195
[07-05-21 10:37:23 | Arc_functions.py   th_comparison(), line 409] INFO: Comparison successfully completed
[07-05-21 10:37:23 | Arc_functions.py   th_comparison(), line 414] DEBUG: frac_rejected=0.0475609756097561
[07-05-21 10:37:23 | Arc_functions.py   th_comparison(), line 415] INFO: Data rejected 4.756 %
[07-05-21 10:37:23 | Arc_functions.py   th_comparison(), line 421] INFO: Replacement successfully completed
[07-05-21 10:37:23 | Arc_functions.py             psd(), line 464] INFO: Start cleaning from NaN values
[07-05-21 10:38:47 | Arc_functions.py             psd(), line 467] INFO: Cleaning from NaN values successfully completed
[07-05-21 10:38:47 | Arc_functions.py             psd(), line 469] DEBUG: num=60000
[07-05-21 10:38:47 | Arc_functions.py             psd(), line 470] INFO: Evaluating the PSD frequencies
[07-05-21 10:38:47 | Arc_functions.py             psd(), line 472] DEBUG: psd_f obtained with N=60000, NFFT=60000, Fs=60000, detrend=linear
[07-05-21 10:38:47 | Arc_functions.py             psd(), line 490] INFO: Searching the optimal array
